index,match_id,winner_id,winner_name,loser_id,loser_name,win_type,submission,winner_points,loser_points,adv_pen,weight_class,sex,stage,year,event_id,winner_elo_start,loser_elo_start,winner_elo_end,loser_elo_end
320,434,591,Ricardo Liborio,550,Roberto Magalhaes,POINTS,,9,0,,88KG,M,4F,2000,81,1042.95,1000.0,1062.24,980.71
339,440,481,Saulo Ribeiro,591,Ricardo Liborio,POINTS,,-1,-1,,88KG,M,F,2000,82,1036.12,1062.24,1064.07,1034.29
593,411,727,Alexandre de Freitas,4302,Joe Gilbert,SUB,RNC,-1,-1,,66KG,M,SF,2000,83,1114.49,1000.0,1133.31,981.18
45,460,559,Rodrigo Medeiros,550,Roberto Magalhaes,POINTS,,10,0,,ABS,M,R1,2000,84,980.56,980.71,1000.57,960.7
1004,464,-1,Tito Ortiz,559,Rodrigo Medeiros,POINTS,,2,0,,ABS,M,SF,2000,85,1000.0,1000.57,1024.04,976.53
949,428,550,Roberto Magalhaes,-1,Manu Garcia,POINTS,,9,2,,88KG,M,R1,2000,86,960.7,1000.0,982.95,977.75
967,458,-1,Mark Kerr,6167,Ricco Rodriguez,POINTS,,-1,-1,,+99KG,M,F,2000,87,1027.38,1084.87,1057.64,1054.61
321,438,591,Ricardo Liborio,720,Jorge Patino,POINTS,,-1,-1,,88KG,M,SF,2000,88,1034.29,1040.74,1058.74,1016.29
954,439,481,Saulo Ribeiro,-1,Sasha Savko,POINTS,,3,2,,88KG,M,SF,2000,89,1064.07,1024.0,1085.31,1002.76
952,415,52,Renzo Gracie,-1,Dennis Hallman,POINTS,,7,0,,77KG,M,R1,2000,90,1076.2,1000.0,1091.88,984.32
658,423,88,Jean Jacques Machado,4658,Mikey Burnet,SUB,Ezekiel,-1,-1,,77KG,M,4F,2000,91,1127.93,1000.0,1144.31,983.62
313,424,52,Renzo Gracie,687,Marcio Feitosa,SUB,Guillotine,-1,-1,,77KG,M,SF,2000,92,1091.88,1022.0,1114.0,999.88
315,462,278,Ricardo Almeida,81,Vitor Ribeiro,SUB,Kneebar,-1,-1,,ABS,M,4F,2000,93,1021.81,978.41,1043.97,956.25
314,426,52,Renzo Gracie,88,Jean Jacques Machado,POINTS,,-1,-1,,77KG,M,F,2000,94,1114.0,1144.31,1142.26,1116.05
316,465,278,Ricardo Almeida,559,Rodrigo Medeiros,POINTS,,5,0,,ABS,M,3PLC,2000,95,1043.97,976.53,1062.56,957.94
592,409,727,Alexandre de Freitas,-1,Sasha Plavski,POINTS,,-1,-1,,66KG,M,4F,2000,96,1133.31,1000.0,1147.26,986.05
440,404,515,Royler Gracie,1023,Baret Yoshida,POINTS,,2,0,,66KG,M,R1,2000,97,1110.44,975.97,1123.06,963.35
1000,456,-1,Mark Kerr,1817,Rigan Machado,POINTS,,2,0,,+99KG,M,SF,2000,98,1057.64,991.01,1077.09,971.56
765,421,52,Renzo Gracie,-1,Israel Albuquerque,POINTS,,3,0,,77KG,M,4F,2000,99,1142.26,1000.0,1155.72,986.54
908,447,93,Ricardo Arona,-1,Tito Ortiz,POINTS,,2,0,,99KG,M,SF,2000,100,1052.24,1024.04,1074.3,1001.98
787,455,1817,Rigan Machado,-1,Pete Williams,POINTS,,7,0,,+99KG,M,4F,2000,101,971.56,1000.0,995.36,976.2
144,427,687,Marcio Feitosa,419,Leonardo Vieira,POINTS,,-1,-1,,77KG,M,3PLC,2000,102,999.88,1028.13,1024.75,1003.26
863,418,81,Vitor Ribeiro,-1,Rumina Sato,POINTS,,4,0,,77KG,M,R1,2000,103,956.25,1000.0,978.76,977.49
774,446,93,Ricardo Arona,-1,Kareem Barkalev,POINTS,,-1,-1,,99KG,M,4F,2000,104,1074.3,998.9,1091.6,981.6
881,453,6167,Ricco Rodriguez,-1,Rodrigo Minotauro,SUB,Kneebar,-1,-1,,+99KG,M,4F,2000,105,1054.61,1000.0,1075.97,978.64
784,442,559,Rodrigo Medeiros,1994,Travis Lutter,POINTS,,2,0,,99KG,M,R1,2000,106,957.94,1000.0,980.35,977.59
413,413,515,Royler Gracie,727,Alexandre de Freitas,POINTS,,5,0,,66KG,M,F,2000,107,1123.06,1147.26,1150.87,1119.45
541,416,687,Marcio Feitosa,-1,Caol Uno,POINTS,,2,0,,77KG,M,R1,2000,108,1024.75,974.27,1041.86,957.16
574,451,6167,Ricco Rodriguez,-1,Carlos Barreto,DECISION,,-1,-1,,+99KG,M,R1,2000,109,1075.97,1000.0,1089.31,986.66
575,457,6167,Ricco Rodriguez,-1,Ricardo Moraes,DECISION,,-1,-1,,+99KG,M,SF,2000,110,1089.31,978.0,1103.39,963.92
780,429,591,Ricardo Liborio,4302,Toshiyuki Oyama,SUB,RNC,-1,-1,,88KG,M,R1,2000,111,1058.74,1000.0,1077.89,980.85
838,437,481,Saulo Ribeiro,4302,Dave Menne,SUB,RNC,-1,-1,,88KG,M,4F,2000,112,1085.31,1000.0,1104.52,980.79
986,459,-1,Mark Kerr,419,Leonardo Vieira,POINTS,,-1,-1,,ABS,M,R1,2000,113,1077.09,1003.26,1092.9,987.45
