match_id,winner_id,winner_name,loser_id,loser_name,win_type,submission,winner_points,loser_points,adv_pen,weight_class,sex,stage,year,event_id,winner_rating_start,loser_rating_start,winner_rating_end,loser_rating_end,winner_rd_end,loser_rd_end
320,591,Ricardo Liborio,-1,Akihiro Gono,POINTS,,5,0,,88KG,M,R1,1999,54,1500.0,1500.0,1675.905543225484,1337.6891050238826,208.56032049132367,290.3189646747521
371,6167,Ricco Rodriguez,1696,Garth Taylor,POINTS,,-1,-1,,ABS,M,3RD,1999,55,1990.8604625088492,1500.0,1812.0411583355449,1390.4351044075943,176.57132969437703,239.76578241027659
317,88,Jean Jacques Machado,4302,Caol Uno,SUB,RNC,-1,-1,,77KG,M,F,1999,56,1500.0,1500.0,2051.171041183553,1177.0012896552544,208.5603846438669,290.31897786152086
352,-1,Sean Alvarez,6167,Ricco Rodriguez,POINTS,,-1,-1,,+99KG,M,4F,1999,57,1240.3025556012278,1990.8604625088492,1654.3823217636466,1812.0411583355449,283.4765135218122,176.57132969437703
315,88,Jean Jacques Machado,4302,Micah Pittman,SUB,RNC,-1,-1,,77KG,M,4F,1999,58,1500.0,1500.0,2051.171041183553,1251.6643204639831,208.5603846438669,290.31897065013663
306,727,Alexandre de Freitas,5463,T. Hirono,SUB,Armbar,-1,-1,,66KG,M,R1,1999,59,2027.3416585198331,1500.0,1966.3452261507261,1390.390939036042,198.71363942871238,320.5186745563028
333,278,Ricardo Almeida,-1,Gao Hua,SUB,Submission,-1,-1,,99KG,M,R1,1999,60,1500.0,1500.0,1674.282341541248,1288.995832064887,227.73540184505075,290.3189677472295
334,481,Saulo Ribeiro,-1,Mourat Ozov,SUB,Choke,-1,-1,,99KG,M,R1,1999,61,1500.0,1500.0,1692.6584547797343,1288.995832064887,208.56032193956233,290.3189677472295
322,52,Renzo Gracie,-1,Fan Yi,SUB,Submission,-1,-1,,88KG,M,R1,1999,62,1943.1146049807553,1500.0,1850.7004627449403,1381.0239710630503,193.20463140864837,310.8562304803438
310,-1,Sasha Palvski,1023,Baret Yoshida,POINTS,,4,0,,66KG,M,4F,1999,63,1500.0,1500.0,1512.7128496545145,1410.1122631595003,272.7469368421467,227.73539705347548
341,-1,Jeff Monson,481,Saulo Ribeiro,POINTS,,-1,-1,,99KG,M,F,1999,64,1500.0,1500.0,1919.4762383180032,1692.6584547797343,227.73543317353315,208.56032193956233
324,-1,Kareem Barkalev,486,Amaury Bitetti,POINTS,,2,0,,88KG,M,4F,1999,65,1240.3025556012278,1500.0,1457.0902497273157,1390.0834542400453,260.24169833137734,256.29639616059455
361,1696,Garth Taylor,1023,Baret Yoshida,POINTS,,2,0,,ABS,M,R1,1999,66,1500.0,1500.0,1390.4351044075943,1410.1122631595003,239.76578241027659,227.73539705347548
425,88,Jean Jacques Machado,419,Leonardo Vieira,POINTS,,9,0,,77KG,M,SF,2000,67,2051.171041183553,1500.0,2006.0937287674153,1463.4280344712,176.91128654046005,202.3805329670828
461,278,Ricardo Almeida,-1,Josh Barnet,SUB,Guillotine,-1,-1,,ABS,M,R1,2000,68,1674.282341541248,1500.0,1680.3097925928914,1333.1991928040147,167.03322206748308,279.63116530332894
448,93,Ricardo Arona,-1,Jeff Monson,POINTS,,-1,-1,,99KG,M,F,2000,69,1500.0,1919.4762383180032,2075.9302803596793,1776.2091054481962,209.3619190188458,206.9694014687716
435,720,Jorge Patino,-1,Egan Inoe,POINTS,,6,0,,88KG,M,4F,2000,70,1500.0,1500.0,1589.8051762898947,1305.2269234041933,221.30954687032562,290.3189666307005
405,727,Alexandre de Freitas,-1,T. Yano,POINTS,,10,0,,66KG,M,R1,2000,71,1966.3452261507261,1500.0,1989.1143469752042,1455.1828240471568,168.8111249680186,313.6194766805043
444,93,Ricardo Arona,-1,H. Kanehara,SUB,Kneebar,-1,-1,,99KG,M,R1,2000,72,1500.0,1500.0,2075.9302803596793,1288.995832064887,209.3619190188458,290.3189677472295
408,515,Royler Gracie,-1,J. Wakabayashi,POINTS,,22,0,,66KG,M,4F,2000,73,2176.8209769312234,1500.0,2340.2316813554958,1426.8721689041495,189.34167216999842,333.38186948186024
419,88,Jean Jacques Machado,4302,Marcio Cromado,SUB,RNC,-1,-1,,77KG,M,R1,2000,74,2051.171041183553,1500.0,2006.0937287674153,1391.660300237059,176.91128654046005,323.0603724186264
