Fighter,Rating,RD
Jia Jang,1387.7459088882767,323.68
Rodrigo Caporal,1386.9291564867278,261.72
Y. Kohsaka,1386.4677021926027,318.42
Serguei Onishuk,1386.4677021926027,318.42
Devhonte Johnson,1386.3823752941346,290.32
Valdir Araujo Junior,1386.3823752941346,290.32
Jesse Urholin,1386.3823752941346,290.32
Hideki Shrek,1386.3823752941346,290.32
Cole Abate,1386.3823752941346,290.32
Frank Trigg,1386.3823752941346,290.32
M. Perez,1386.2635281296205,258.01
Rocky Batastini,1386.1918468972335,316.57
Wang Yan,1385.7728807243495,320.03
D. Hemmings,1385.5033947158822,317.55
Kouhei Yasumi,1384.97421987321,318.6
Y. Kinishi,1384.618100815332,316.4
Tetsu Hadario,1383.9233793163205,278.06
Jason Lees,1382.5178253753595,271.31
P. Ardilla,1381.3544972229765,313.54
Tomasz Janiszewski,1381.140279238081,285.62
David Marinakis,1381.105812808948,310.86
Fan Yi,1381.0239710630503,310.86
Santeri Lilius,1380.3381441065999,280.32
Lee Hyoung,1378.9413674974514,310.59
Andy Reese,1376.353220897718,282.51
Mahamed Aly,1375.764345778588,145.11
A. Hamlet,1374.3324191256718,333.38
I. Praporshchikov,1373.5830656543512,267.95
Takefuni Hanai,1371.9210989383253,300.61
Miodrag Petkovic,1371.7840918217448,300.46
Jessica Flowers,1369.2658779688345,329.96
David Bielkheden,1367.8489718418164,298.17
Mike Martelle,1367.7535162349177,296.22
J. Pietlainen,1366.2285841455405,293.81
Eddie Sanchez,1365.8666253280094,293.95
Tetsu Suzuko,1365.8666253280094,293.95
Fabio Gurgel,1364.7358611444042,319.74
Keller Sodhi,1364.6397579059312,261.31
Yukiyasu Ozawa,1364.3277254135764,290.35
Bruno Chavez,1364.236883471524,279.01
Tomasz Narkun,1364.1948502034425,279.59
Tammy Griego,1363.8222480579548,317.14
Geovanny Martinez,1362.304006035379,160.78
Reese Andy,1362.226765303543,290.96
T. Pyylampi,1361.8979835118867,287.31
John Salter,1361.8979835118867,287.31
Take Hanai,1361.5108176752174,272.54
Hidemi Mihara,1361.0983219680909,259.07
K. Toida,1361.0430004651107,291.33
Rogent Lorent,1359.1790694012764,285.62
Talita Alencar,1358.789522424701,290.32
Joe Guilbert,1358.789522424701,290.32
Sekine Hideki,1358.4700720175906,290.56
Justin Garcia,1358.1778143997187,289.98
Andy Wang,1356.8564390622666,289.26
Y. Yatso,1356.4994542252628,285.35
Patrick Gaudio,1356.35226070936,194.84
Davion Peterson,1355.1431489054194,282.51
Thomas DeBlass,1353.3380050154833,283.17
Abdulaev Ruslan,1352.9888973816671,282.78
Elvis Sinosic,1352.794527839144,280.43
Mario Rinaldi,1352.794527839144,280.43
Yoshiyuki Yoshida,1351.6682029656324,262.5
Daniel Hortegas,1351.4302952601363,282.4
