Fighter,Elo Rating
Muhammad Saleh,980.0
Akira Shouji,980.0
Travers Grubb,980.0
Sanshiro Nakamura,980.0
Amir Allam,980.0
Robert Sabaruddin,980.0
Roberto Alencar,980.0
Gabriel Marangoni,980.0
E. Elgland,980.0
Jonathan Satava,980.0
Kamil Wilk,979.96
Ben Dyson,979.91
Thomas Halpin,979.9
Chris Bright,979.89
Mourat Ozov,979.86
Nieman Gracie,979.86
Jesseray Childrey,979.8
Ruan Alvarenga,979.8
James Poupolo,979.77
Gamrot Mateusz,979.76
Jose Mario Queiroga,979.73
Santeri Lilius,979.73
Akira Soji,979.65
Yuki Ozawa,979.65
Carlos Newton,979.64
Y. Setsenko,979.58
Tom Barlow,979.58
K. Toida,979.56
Luis Roberto,979.47
Abdulaev Ruslan,979.47
Janus Andrejczuk,979.46
Vernon White,979.45
Juan Valles,979.4
Livia Giles,979.4
Larry Parker,979.39
Fernanda Mazelli,979.37
Halm Gocalli,979.31
J. Pietkainen,979.29
Fernando Vieira,979.28
Oleg Taktarov,979.27
Cameron Earle,979.27
James Harbison,979.24
John Combs,979.16
Jeff Curran,979.15
Alec Baulding,979.14
Dan Manasoiu,979.13
Simon Siasi,979.07
H. Kanehara,979.07
Elvira Karpinnen,979.05
Sergio Ardila-Ibarra,979.04
Keller Sodhi,978.96
Yoshitomi Mishima,978.94
Jason Brudvik,978.92
Josh Barnet,978.85
Wagnney Fabiano,978.85
Josh Hayden,978.85
Ryan Harvey,978.82
Young-Ahm,978.82
F. Capoane,978.74
Shane Hill-Taylor,978.72
Trevor Lally,978.68
Milton Vieira,978.68
Jimmy Freidrich,978.67
Rodrigo Minotauro,978.64
Jeon Doo,978.64
Adam Sachnoff,978.63
Tommy Langaker,978.63
Elvira Karppinen,978.61
Janne Pietilainen,978.57
Michael Wilson,978.55
Magid Hage,978.54
Jimmy Friedrich,978.47
Daniel Hortegas,978.47
Kit Dale,978.46
Asa Fuller,978.44
Allan Teo,978.4
Chris Wideman,978.35
Hiroyuko Abe,978.24
Ethan Crelinsten,978.2
