Fighter,Peak Elo
Matheus Diniz,1073.7
David Avellan,1071.5
Amy Campo,1066.67
Jake Shields,1062.19
Murilo Santana,1061.99
Gary Tonon,1061.93
Antonio Schembri,1061.72
Jackson Sousa,1061.21
David Terrell,1059.67
Gilbert Burns,1059.59
Vinicius Ferreira,1059.5
Mahamed Aly,1058.27
Gabriel Sousa,1057.6
Gabriel Napao,1056.82
Leonardo Nogueira,1056.67
Robson Moura,1056.64
Jorge Patino,1056.62
Leonardo Santos,1055.87
Matt Serra,1055.67
Lachlan Giles,1054.21
Justin Rader,1051.37
Tim Spriggs,1050.01
Diego Oliveira,1049.44
Rigan Machado,1048.98
Otavio Sousa,1048.51
Joao Miyao,1046.0
Tye Ruotolo,1045.46
Geovanny Martinez,1045.36
Eddie Bravo,1045.25
Robert Drysdale,1044.48
Dante Leon,1044.43
Kennedy Maciel,1043.69
Sergio Moraes,1042.05
Victor Honorio,1041.68
Joshua Cisneros,1041.4
Micael Galvao,1040.42
Beatriz Mesquita,1040.17
Mackenzie Dern,1039.9
Victor Estima,1039.2
Ryan Hall,1038.85
Gregor Gracie,1037.75
Olav Einemo,1037.71
John Hansen,1036.02
Egan Inoue,1035.1
Sean Alvarez,1034.08
Rustam Chsiev,1033.17
Victor Hugo,1033.16
Roosevelt Sousa,1033.0
Brianna Ste-Marie,1026.62
Aaron Johnson,1024.45
Paul Schreiner,1023.12
Hayato Sakurai,1023.0
Oskar Piechota,1023.0
Mateusz Szczecinski,1023.0
Eoghan Oflanagan,1023.0
Kamil Uminski,1023.0
Ana Carolina Vieira,1023.0
Vitor Viana,1023.0
Bianca Mesquita,1023.0
Edward Cummings,1023.0
Marcio Corleta,1023.0
Cassio Francis,1023.0
Ricardo Vieira,1023.0
Kendall Reusing,1023.0
Ethan Crelinsten,1023.0
Abraham Marte Messina,1023.0
Antonio Braga Neto,1023.0
Rafaela Guedes,1022.32
Jon Blank,1021.98
Sam McNally,1021.97
Dillon Danis,1021.57
Gunnar Nelson,1020.0
Kuba Witkowski,1020.0
E. Karpinen,1020.0
Sasha Savko,1020.0
Kareem Barkalev,1020.0
Eoghan OFlannagan,1020.0
Glover Teixeira,1020.0
Gabriel Rollo,1020.0
Roberto Magalhaes,1020.0
Patrick Gaudio,1020.0
Pedro Marinho,1020.0
Pablo Mantovani,1020.0
Marcio Andre Barbosa Junior,1020.0
