index,match_id,winner_id,winner_name,loser_id,loser_name,win_type,submission,winner_points,loser_points,adv_pen,weight_class,sex,stage,year,event_id,winner_elo_start,loser_elo_start,winner_elo_end,loser_elo_end
271,35046,10705,Kyle Boehm,9157,Devhonte Johnson,DECISION,,-1,-1,,99KG,M,R1,2022,757,1000.0,1000.0,1017.0,983.0
270,35001,9031,Kennedy Maciel,4996,Geovanny Martinez,SUB,RNC,-1,-1,,66KG,M,R1,2022,758,1016.71,1045.36,1041.6,1020.47
269,35054,8974,Kaynan Duarte,576,Rafael Lovato Jr,DECISION,,-1,-1,,99KG,M,SF,2022,759,1019.78,1174.55,1043.89,1150.44
268,35050,8974,Kaynan Duarte,12922,Elder Cruz,POINTS,,5,2,,99KG,M,4F,2022,760,1043.89,1000.0,1061.38,982.51
267,21884,8974,Kaynan Duarte,12110,Nick Rodriguez,POINTS,,3,0,,+99KG,M,F,2019,761,1061.38,1043.92,1080.38,1024.92
266,21882,8974,Kaynan Duarte,984,Marcus Almeida,DECISION,,-1,-1,,+99KG,M,SF,2019,762,1080.38,1136.56,1100.11,1116.83
265,21823,8974,Kaynan Duarte,1740,Yuri Simoes,POINTS,,3,0,,+99KG,M,4F,2019,763,1100.11,1113.96,1120.91,1093.16
264,21818,8974,Kaynan Duarte,10318,Eldar Rafigaev,SUB,RNC,-1,-1,,+99KG,M,R1,2019,764,1120.91,1000.0,1136.21,984.7
263,35023,12005,Kade Ruotolo,9344,Paul Schreiner,SUB,Armbar,-1,-1,,77KG,M,SF,2022,765,1024.32,1023.12,1047.24,1000.2
262,35019,12005,Kade Ruotolo,10880,Roberto Jimenez,SUB,Inside heel hook,-1,-1,,77KG,M,4F,2022,766,1047.24,1000.0,1067.13,980.11
261,35016,12005,Kade Ruotolo,8682,Lachlan Giles,SUB,Armbar,-1,-1,,77KG,M,R1,2022,767,1067.13,1054.21,1089.28,1032.06
260,21895,967,Jonathan Torres,8394,Vagner Rocha,POINTS,,3,0,,77KG,M,F,2019,768,1017.5,1152.83,1044.92,1125.41
259,21892,967,Jonathan Torres,5649,Gary Tonon,POINTS,,2,0,,77KG,M,SF,2019,769,1044.92,1012.37,1063.05,994.24
258,21850,967,Jonathan Torres,9261,Ross Nicholls,POINTS,,0,0,PEN,77KG,M,R1,2019,770,1063.05,1000.0,1079.46,983.59
257,13905,967,Jonathan Torres,5649,Gary Tonon,DECISION,,-1,-1,,77KG,M,SF,2017,771,1079.46,994.24,1092.37,981.33
256,13902,967,Jonathan Torres,428,Celso Vinicius,POINTS,,0,0,PEN,77KG,M,4F,2017,772,1092.37,988.48,1106.56,974.29
255,13896,967,Jonathan Torres,8682,Lachlan Giles,POINTS,,2,0,,77KG,M,E1,2017,773,1106.56,1032.06,1122.34,1016.28
254,5000,967,Jonathan Torres,358,Lucas Lepri,POINTS,,2,0,,77KG,M,4F,2013,774,1122.34,1076.53,1139.72,1059.15
253,3235,967,Jonathan Torres,1523,Clark Gracie,POINTS,,2,0,,77KG,M,R1,2011,775,1139.72,1000.0,1152.08,987.64
252,35003,11568,Joshua Cisneros,12751,Sam McNally,DECISION,,-1,-1,,66KG,M,4F,2022,776,1000.0,1021.97,1018.07,1003.9
251,35000,11568,Joshua Cisneros,11223,Ethan Crelinsten,SUB,Armbar,-1,-1,,66KG,M,R1,2022,777,1018.07,1023.0,1041.4,999.67
250,35033,7096,Josh Hinger,12003,Tye Ruotolo,POINTS,,3,2,,88KG,M,R1,2022,778,1000.0,1022.06,1021.27,1000.79
249,21890,7096,Josh Hinger,10588,Jon Blank,POINTS,,3,0,,88KG,M,3RD,2019,779,1021.27,997.53,1039.91,978.89
248,21847,7096,Josh Hinger,7478,Adam Wardzinski,SUB,Guillotine,-1,-1,,88KG,M,4F,2019,780,1039.91,1000.0,1060.28,979.63
247,21840,7096,Josh Hinger,9250,Gabriel Almeida,SUB,Short choke,-1,-1,,88KG,M,R1,2019,781,1060.28,1000.0,1079.33,980.95
246,3320,232,Jose Mario Sperry,52,Renzo Gracie,POINTS,,2,0,,ABS,M,SPF,2011,782,1123.4,1161.5,1145.58,1139.32
245,21846,10588,Jon Blank,484,Murilo Santana,DECISION,,-1,-1,,88KG,M,4F,2019,783,978.89,1061.99,999.88,1041.0
244,7992,2403,Joao Gabriel Rocha,4328,AJ Agazarm,DECISION,,-1,-1,,ABS,M,R1,2015,784,1038.98,964.3,1052.38,950.9
243,3287,644,Joao Assis,84,Alexandre Ribeiro,SUB,RNC,-1,-1,,99KG,M,SF,2011,785,1140.03,1075.19,1158.79,1056.43
242,7996,2403,Joao Gabriel Rocha,8394,Vagner Rocha,POINTS,,3,0,,ABS,M,4F,2015,786,1052.38,1125.41,1076.52,1101.27
241,7903,2403,Joao Gabriel Rocha,3083,Abraham Marte Messina,POINTS,,3,0,,+99KG,M,4F,2015,787,1076.52,1023.0,1093.46,1006.06
240,5049,2403,Joao Gabriel Rocha,5861,Jared Dopp,POINTS,,-1,-1,,+99KG,M,SF,2013,788,1093.46,1040.45,1110.43,1023.48
239,4986,2997,Joao Miyao,338,Ricardo Vieira,SUB,Heel hook,-1,-1,,66KG,M,4F,2013,789,1023.0,1023.0,1046.0,1000.0
